AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,FUNC_1,Attr
1078,3,384,510,158,14,1893,880,3,3,3.00,12,0,1.405ns,-,-,-,-,9,-,-,0,Cyber,array=REG,unroll_times=0,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=all;FUNC_1=func=inline;0
1078,3,384,510,158,14,1893,880,3,3,3.00,12,0,1.405ns,-,-,-,-,9,-,-,50,Cyber,array=REG,unroll_times=0,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=all;FUNC_1=func=inline;50
1078,3,384,510,158,14,1893,880,3,3,3.00,12,0,1.405ns,-,-,-,-,9,-,-,100,Cyber,array=REG,unroll_times=0,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=all;FUNC_1=func=inline;100
1176,5,273,666,204,14,1953,895,5,5,5.00,19,0,1.668ns,-,-,-,-,17,-,-,-100,Cyber,array=REG,unroll_times=0,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;FUNC_1=func=inline;-100
1176,5,273,666,204,14,1953,895,5,5,5.00,19,0,1.668ns,-,-,-,-,17,-,-,-50,Cyber,array=REG,unroll_times=0,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;FUNC_1=func=inline;-50
1176,5,273,666,204,14,1953,895,5,5,5.00,19,0,1.668ns,-,-,-,-,17,-,-,0,Cyber,array=REG,unroll_times=0,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;FUNC_1=func=inline;0
1176,5,273,666,204,14,1953,895,5,5,5.00,19,0,1.668ns,-,-,-,-,17,-,-,50,Cyber,array=REG,unroll_times=0,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;FUNC_1=func=inline;50
1176,5,273,666,204,14,1953,895,5,5,5.00,19,0,1.668ns,-,-,-,-,17,-,-,100,Cyber,array=REG,unroll_times=0,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;FUNC_1=func=inline;100
1269,6,315,678,239,14,2184,1003,6,6,6.00,23,0,2.303ns,-,-,-,-,15,-,-,-100,Cyber,array=REG,unroll_times=3,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=0;FUNC_1=func=inline;-100
1269,6,315,678,239,14,2184,1003,6,6,6.00,23,0,2.303ns,-,-,-,-,15,-,-,-50,Cyber,array=REG,unroll_times=3,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=0;FUNC_1=func=inline;-50
1269,6,315,678,239,14,2184,1003,6,6,6.00,23,0,2.303ns,-,-,-,-,15,-,-,0,Cyber,array=REG,unroll_times=3,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=0;FUNC_1=func=inline;0
1282,6,331,678,236,14,2200,1019,6,6,6.00,23,0,2.149ns,-,-,-,-,15,-,-,50,Cyber,array=REG,unroll_times=3,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=0;FUNC_1=func=inline;50
1282,6,331,678,236,14,2200,1019,6,6,6.00,23,0,2.149ns,-,-,-,-,15,-,-,100,Cyber,array=REG,unroll_times=3,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=0;FUNC_1=func=inline;100
1445,9,377,738,283,14,2600,1191,9,9,9.00,33,0,2.933ns,-,-,-,-,15,-,-,-100,Cyber,array=REG,unroll_times=3,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=3;FUNC_1=func=inline;-100
1636,8,585,732,273,14,2943,1391,8,8,8.00,32,0,3.553ns,-,-,-,-,14,-,-,-50,Cyber,array=REG,unroll_times=3,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=3;FUNC_1=func=inline;-50
1636,8,585,732,273,14,2943,1391,8,8,8.00,32,0,3.553ns,-,-,-,-,14,-,-,0,Cyber,array=REG,unroll_times=3,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=3;FUNC_1=func=inline;0
1878,8,818,756,262,14,3428,1652,8,8,8.00,28,0,3.187ns,-,-,-,-,14,-,-,50,Cyber,array=REG,unroll_times=3,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=3;FUNC_1=func=inline;50
1885,8,828,756,259,14,3435,1652,8,8,8.00,28,0,3.187ns,-,-,-,-,14,-,-,100,Cyber,array=REG,unroll_times=3,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=3;FUNC_1=func=inline;100
1161,9,162,648,310,14,2212,970,9,9,9.00,27,0,1.1225ns,-,-,-,-,12,-,-,-100,Cyber,array=REG,unroll_times=3,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=4;FUNC_1=func=inline;-100
1162,6,322,576,233,14,2131,971,6,6,6.00,17,0,1.575ns,-,-,-,-,9,-,-,-50,Cyber,array=REG,unroll_times=3,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=4;FUNC_1=func=inline;-50
1174,5,422,534,188,14,2129,993,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,0,Cyber,array=REG,unroll_times=3,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=4;FUNC_1=func=inline;0
1181,5,432,534,185,14,2126,996,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,50,Cyber,array=REG,unroll_times=3,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=4;FUNC_1=func=inline;50
1181,5,432,534,185,14,2126,996,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,100,Cyber,array=REG,unroll_times=3,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=4;FUNC_1=func=inline;100
1161,9,162,648,310,14,2212,970,9,9,9.00,27,0,1.1225ns,-,-,-,-,12,-,-,-100,Cyber,array=REG,unroll_times=3,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;FUNC_1=func=inline;-100
1162,6,322,576,233,14,2131,971,6,6,6.00,17,0,1.575ns,-,-,-,-,9,-,-,-50,Cyber,array=REG,unroll_times=3,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;FUNC_1=func=inline;-50
1174,5,422,534,188,14,2129,993,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,0,Cyber,array=REG,unroll_times=3,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;FUNC_1=func=inline;0
1181,5,432,534,185,14,2126,996,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,50,Cyber,array=REG,unroll_times=3,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;FUNC_1=func=inline;50
1181,5,432,534,185,14,2126,996,5,5,5.00,16,0,1.405ns,-,-,-,-,8,-,-,100,Cyber,array=REG,unroll_times=3,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;FUNC_1=func=inline;100
1270,7,315,684,233,14,2163,996,7,7,7.00,24,0,1.903ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,unroll_times=3,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=1;FUNC_1=func=inline;-100
1270,7,315,684,233,14,2163,996,7,7,7.00,24,0,1.903ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,unroll_times=3,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=1;FUNC_1=func=inline;-50
1270,7,315,684,233,14,2163,996,7,7,7.00,24,0,1.903ns,-,-,-,-,16,-,-,0,Cyber,array=REG,unroll_times=3,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=1;FUNC_1=func=inline;0
1282,7,331,684,229,14,2174,1010,7,7,7.00,24,0,1.749ns,-,-,-,-,16,-,-,50,Cyber,array=REG,unroll_times=3,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=1;FUNC_1=func=inline;50
1282,7,331,684,229,14,2174,1010,7,7,7.00,24,0,1.749ns,-,-,-,-,16,-,-,100,Cyber,array=REG,unroll_times=3,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=1;FUNC_1=func=inline;100
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,-100,Cyber,array=REG,unroll_times=4,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;FUNC_1=func=inline;-100
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,-50,Cyber,array=REG,unroll_times=4,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;FUNC_1=func=inline;-50
