AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,Attr
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,0,Cyber,array=RAM,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;0
747,11,262,330,108,0,1454,698,12,12,12.00,47,-,1.1501ns,-,-,-,-,18,-,-,-100,Cyber,array=RAM,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=1;-100
849,14,336,330,141,0,1778,852,14,14,14.00,42,-,1.9201ns,-,-,-,-,18,-,-,-100,Cyber,array=RAM,unroll_times=all,unroll_times=3,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=3;-100
809,9,337,330,119,0,1589,773,9,9,9.00,23,-,1.9201ns,-,-,-,-,25,-,-,-100,Cyber,array=RAM,folding=0,unroll_times=3,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=3;-100
2014,6,284,660,1055,0,4375,1617,6,6,6.00,15,0,2.372ns,-,-,-,-,15,-,-,-100,Cyber,array=EXPAND,array_index=const,folding=0,unroll_times=3,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=3;-100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,0,Cyber,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;0
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=0;-100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,-100,Cyber,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;-100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-50,Cyber,array=RAM,unroll_times=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;-50
747,11,262,330,108,0,1454,698,12,12,12.00,47,-,1.1501ns,-,-,-,-,18,-,-,0,Cyber,array=RAM,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=1;0
